"jap";"doy";"date";"mgmt";"ScoreArea"
109;274;01/10/10;"plat";0.0218
116;281;08/10/10;"plat";0.0293
123;288;15/10/10;"plat";0.0306
131;296;23/10/10;"plat";0.0601
137;302;29/10/10;"plat";0.0838
146;311;07/11/10;"plat";0.1346
151;316;12/11/10;"plat";0.2359
158;323;19/11/10;"plat";0.3593
164;329;25/11/10;"plat";0.4812
173;338;04/12/10;"plat";0.598
109;274;01/10/10;"tuteur";0.0402
116;281;08/10/10;"tuteur";0.0721
123;288;15/10/10;"tuteur";0.1321
131;296;23/10/10;"tuteur";0.4929
137;302;29/10/10;"tuteur";0.6987
146;311;07/11/10;"tuteur";0.9189
151;316;12/11/10;"tuteur";0.9655
158;323;19/11/10;"tuteur";0.983
